transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,merchant_category,location,transaction_status,year,month,month_name,day,day_name,week,high_value_flag,customer_avg_transaction,suspicious_flag,daily_txn_count,high_frequency_flag,risk_level
38,16,2024-08-14,Debit,4029.61,Entertainment,Bangalore,Success,2024,8,August,14,Wednesday,33,False,4329.318000000001,False,1,False,Low
39,199,2024-02-17,Credit,1516.96,Travel,Bangalore,Success,2024,2,February,17,Saturday,7,False,2306.08375,False,1,False,Low
40,401,2024-01-18,Debit,915.19,Bills,Delhi,Success,2024,1,January,18,Thursday,3,False,2210.534,False,1,False,Low
41,407,2024-10-21,Debit,1412.41,Groceries,Bangalore,Success,2024,10,October,21,Monday,43,False,1926.56,False,1,False,Low
42,282,2024-07-14,Credit,2066.01,Shopping,Bangalore,Success,2024,7,July,14,Sunday,28,False,3516.599166666667,False,1,False,Low
43,469,2024-07-05,Credit,1260.74,Travel,Chennai,Success,2024,7,July,5,Friday,27,False,2611.058,False,1,False,Low
44,86,2024-12-10,Debit,830.84,Fuel,Chennai,Success,2024,12,December,10,Tuesday,50,False,2604.4139999999998,False,1,False,Low
45,250,2024-08-11,Credit,1525.0,Groceries,Hyderabad,Success,2024,8,August,11,Sunday,32,False,3370.3175,False,1,False,Low
46,391,2024-11-13,Debit,58.08,Entertainment,Hyderabad,Success,2024,11,November,13,Wednesday,46,False,3235.542,False,1,False,Low
47,270,2024-12-30,Debit,4441.79,Travel,Mumbai,Success,2024,12,December,30,Monday,1,False,2749.4675,False,1,False,Low
48,335,2024-12-02,Credit,562.41,Fuel,Delhi,Success,2024,12,December,2,Monday,49,False,1745.14875,False,2,False,Low
49,117,2024-08-16,Debit,134.69,Groceries,Chennai,Success,2024,8,August,16,Friday,33,False,2726.27,False,1,False,Low
50,7,2024-03-17,Debit,3181.34,Bills,Hyderabad,Success,2024,3,March,17,Sunday,11,False,2687.9053846153847,False,1,False,Low
51,137,2024-07-06,Debit,4460.81,Shopping,Delhi,Success,2024,7,July,6,Saturday,27,False,2501.860909090909,False,2,False,Low
52,371,2024-12-11,Credit,5043.27,Entertainment,Bangalore,Success,2024,12,December,11,Wednesday,50,False,2708.2455555555553,False,1,False,Low
53,176,2024-09-26,Credit,2040.75,Fuel,Delhi,Success,2024,9,September,26,Thursday,39,False,2056.953,False,1,False,Low
54,328,2024-04-04,Credit,689.63,Bills,Chennai,Success,2024,4,April,4,Thursday,14,False,2228.3489999999997,False,1,False,Low
55,498,2024-11-05,Debit,4009.4,Shopping,Mumbai,Success,2024,11,November,5,Tuesday,45,False,1917.6657142857143,False,1,False,Low
56,315,2024-05-11,Debit,3609.05,Shopping,Chennai,Success,2024,5,May,11,Saturday,19,False,3089.1885714285713,False,1,False,Low
57,215,2024-02-08,Credit,848.17,Bills,Hyderabad,Success,2024,2,February,8,Thursday,6,False,2785.597272727273,False,1,False,Low
58,477,2024-03-12,Credit,7011.77,Fuel,Hyderabad,Success,2024,3,March,12,Tuesday,11,False,2484.1383333333333,False,1,False,Low
59,82,2024-10-07,Credit,330.69,Shopping,Delhi,Success,2024,10,October,7,Monday,41,False,1637.9207692307693,False,1,False,Low
60,223,2024-11-28,Debit,12169.11,Entertainment,Chennai,Success,2024,11,November,28,Thursday,48,False,3328.3345454545456,True,1,False,High
61,478,2024-06-08,Credit,5903.65,Groceries,Hyderabad,Success,2024,6,June,8,Saturday,23,False,3353.636,False,2,False,Low
62,372,2024-07-05,Debit,3493.28,Entertainment,Bangalore,Success,2024,7,July,5,Friday,27,False,6410.6375,False,1,False,Low
63,423,2024-07-09,Credit,8378.37,Travel,Bangalore,Success,2024,7,July,9,Tuesday,28,False,5359.152857142857,False,1,False,Low
64,483,2024-04-29,Debit,3843.76,Shopping,Mumbai,Success,2024,4,April,29,Monday,18,False,3331.8142857142857,False,1,False,Low
65,402,2024-08-07,Debit,633.86,Groceries,Delhi,Success,2024,8,August,7,Wednesday,32,False,2719.67875,False,1,False,Low
66,443,2024-02-22,Credit,1751.03,Bills,Hyderabad,Success,2024,2,February,22,Thursday,8,False,2760.6749999999997,False,1,False,Low
67,490,2024-08-09,Debit,222.56,Groceries,Mumbai,Success,2024,8,August,9,Friday,32,False,2289.5945454545454,False,1,False,Low
68,103,2024-05-10,Credit,1481.2,Groceries,Bangalore,Success,2024,5,May,10,Friday,19,False,1379.6085714285714,False,1,False,Low
69,273,2024-08-24,Debit,4059.77,Groceries,Mumbai,Success,2024,8,August,24,Saturday,34,False,3736.3058333333333,False,1,False,Low
70,14,2024-09-02,Debit,1465.45,Shopping,Mumbai,Failed,2024,9,September,2,Monday,36,False,4557.693636363636,False,1,False,Low
71,159,2024-08-13,Credit,1202.75,Travel,Hyderabad,Success,2024,8,August,13,Tuesday,33,False,2128.6071428571427,False,1,False,Low
72,152,2024-07-26,Debit,2714.24,Travel,Hyderabad,Success,2024,7,July,26,Friday,30,False,2141.447272727273,False,1,False,Low
73,483,2024-04-05,Credit,6171.97,Fuel,Hyderabad,Success,2024,4,April,5,Friday,14,False,3331.8142857142857,False,1,False,Low
74,108,2024-07-18,Credit,146.26,Travel,Delhi,Success,2024,7,July,18,Thursday,29,False,2259.555384615385,False,1,False,Low
75,188,2024-09-03,Credit,1460.69,Shopping,Mumbai,Success,2024,9,September,3,Tuesday,36,False,2407.878333333333,False,1,False,Low
76,301,2024-03-12,Debit,516.78,Fuel,Mumbai,Failed,2024,3,March,12,Tuesday,11,False,3185.1815384615384,False,1,False,Low
77,98,2024-11-13,Debit,3565.82,Bills,Delhi,Success,2024,11,November,13,Wednesday,46,False,2238.467,False,1,False,Low
78,131,2024-07-03,Debit,335.22,Bills,Bangalore,Success,2024,7,July,3,Wednesday,27,False,4423.915714285714,False,1,False,Low
79,293,2024-01-06,Credit,3279.15,Bills,Chennai,Success,2024,1,January,6,Saturday,1,False,2258.5442857142857,False,1,False,Low
80,171,2024-07-24,Credit,1011.38,Bills,Bangalore,Success,2024,7,July,24,Wednesday,30,False,2371.31125,False,1,False,Low
81,424,2024-02-01,Debit,665.37,Bills,Delhi,Success,2024,2,February,1,Thursday,5,False,3208.774,False,1,False,Low
82,474,2024-04-08,Debit,8263.19,Entertainment,Mumbai,Success,2024,4,April,8,Monday,15,False,2072.614,True,1,False,High
83,183,2024-09-12,Credit,56.09,Shopping,Mumbai,Failed,2024,9,September,12,Thursday,37,False,2550.3185714285714,False,1,False,Low
84,471,2024-07-05,Debit,1727.57,Fuel,Hyderabad,Failed,2024,7,July,5,Friday,27,False,2327.477142857143,False,1,False,Low
85,364,2024-03-16,Credit,65.59,Bills,Hyderabad,Success,2024,3,March,16,Saturday,11,False,3052.3313333333335,False,1,False,Low
86,39,2024-06-25,Debit,1982.58,Entertainment,Mumbai,Success,2024,6,June,25,Tuesday,26,False,3346.682,False,1,False,Low
87,15,2024-11-10,Credit,2085.73,Travel,Mumbai,Success,2024,11,November,10,Sunday,45,False,2718.798,False,1,False,Low
88,376,2024-10-13,Debit,1164.33,Entertainment,Hyderabad,Success,2024,10,October,13,Sunday,41,False,3564.454117647059,False,1,False,Low
89,497,2024-12-14,Debit,425.25,Entertainment,Hyderabad,Failed,2024,12,December,14,Saturday,50,False,3310.4718181818184,False,1,False,Low
90,4,2024-09-11,Credit,1416.68,Shopping,Bangalore,Success,2024,9,September,11,Wednesday,37,False,3328.925,False,1,False,Low
91,349,2024-11-20,Credit,3346.63,Bills,Mumbai,Success,2024,11,November,20,Wednesday,47,False,3621.114,False,1,False,Low
92,470,2024-07-08,Credit,4575.23,Entertainment,Mumbai,Success,2024,7,July,8,Monday,28,False,4476.55,False,1,False,Low
93,409,2024-11-03,Debit,2269.86,Entertainment,Delhi,Success,2024,11,November,3,Sunday,44,False,2785.256153846154,False,1,False,Low
94,397,2024-12-10,Credit,2673.58,Bills,Bangalore,Success,2024,12,December,10,Tuesday,50,False,2284.9615384615386,False,1,False,Low
95,210,2024-05-06,Credit,671.74,Shopping,Chennai,Success,2024,5,May,6,Monday,19,False,2396.009,False,1,False,Low
96,161,2024-10-13,Debit,1016.21,Entertainment,Chennai,Success,2024,10,October,13,Sunday,41,False,4080.9464285714284,False,1,False,Low
97,16,2024-09-10,Credit,529.84,Fuel,Chennai,Success,2024,9,September,10,Tuesday,37,False,4329.318000000001,False,1,False,Low
98,493,2024-07-31,Credit,860.23,Groceries,Hyderabad,Success,2024,7,July,31,Wednesday,31,False,1708.753,False,1,False,Low
99,426,2024-09-06,Credit,764.24,Travel,Chennai,Success,2024,9,September,6,Friday,36,False,3096.209230769231,False,1,False,Low
100,108,2024-03-24,Debit,2198.46,Groceries,Delhi,Success,2024,3,March,24,Sunday,12,False,2259.555384615385,False,1,False,Low
101,382,2024-01-13,Debit,2481.33,Groceries,Hyderabad,Success,2024,1,January,13,Saturday,2,False,3167.6427272727274,False,1,False,Low
102,450,2024-02-14,Debit,8698.4,Shopping,Hyderabad,Success,2024,2,February,14,Wednesday,7,False,3280.749375,False,1,False,Low
103,311,2024-05-06,Credit,652.87,Entertainment,Chennai,Success,2024,5,May,6,Monday,19,False,2285.045,False,2,False,Low
104,227,2024-04-23,Debit,3078.95,Groceries,Hyderabad,Success,2024,4,April,23,Tuesday,17,False,2514.97,False,1,False,Low
105,170,2024-10-02,Credit,5099.06,Groceries,Bangalore,Success,2024,10,October,2,Wednesday,40,False,2202.331,False,1,False,Low
106,34,2024-07-23,Credit,2464.59,Travel,Bangalore,Success,2024,7,July,23,Tuesday,30,False,2443.48,False,1,False,Low
107,414,2024-12-02,Credit,883.13,Bills,Chennai,Success,2024,12,December,2,Monday,49,False,2235.019411764706,False,1,False,Low
108,251,2024-09-29,Debit,913.67,Entertainment,Delhi,Success,2024,9,September,29,Sunday,39,False,2832.2684615384615,False,1,False,Low
109,247,2024-02-27,Debit,120.13,Entertainment,Hyderabad,Success,2024,2,February,27,Tuesday,9,False,4781.057777777777,False,1,False,Low
110,269,2024-11-23,Credit,1093.45,Travel,Mumbai,Success,2024,11,November,23,Saturday,47,False,2549.783076923077,False,1,False,Low
111,141,2024-08-06,Credit,4094.82,Bills,Chennai,Success,2024,8,August,6,Tuesday,32,False,4947.688571428572,False,1,False,Low
112,274,2024-04-18,Debit,146.05,Entertainment,Hyderabad,Success,2024,4,April,18,Thursday,16,False,1574.19375,False,1,False,Low
113,416,2024-10-05,Debit,742.67,Fuel,Chennai,Success,2024,10,October,5,Saturday,40,False,3217.8783333333336,False,1,False,Low
114,96,2024-06-22,Debit,3674.9,Travel,Chennai,Success,2024,6,June,22,Saturday,25,False,4645.554444444444,False,1,False,Low
115,227,2024-11-23,Credit,4578.76,Shopping,Delhi,Success,2024,11,November,23,Saturday,47,False,2514.97,False,1,False,Low
116,379,2024-09-20,Debit,1822.66,Bills,Mumbai,Success,2024,9,September,20,Friday,38,False,3299.7957142857144,False,1,False,Low
117,39,2024-11-10,Debit,3592.72,Travel,Hyderabad,Success,2024,11,November,10,Sunday,45,False,3346.682,False,1,False,Low
118,302,2024-04-20,Debit,1472.83,Groceries,Chennai,Success,2024,4,April,20,Saturday,16,False,2584.5186666666664,False,1,False,Low
119,500,2024-07-05,Credit,522.75,Entertainment,Chennai,Success,2024,7,July,5,Friday,27,False,2431.2953333333335,False,1,False,Low
120,29,2024-09-25,Debit,1523.24,Fuel,Hyderabad,Success,2024,9,September,25,Wednesday,39,False,3419.1572727272724,False,1,False,Low
121,446,2024-08-16,Credit,2602.27,Fuel,Chennai,Failed,2024,8,August,16,Friday,33,False,1486.991,False,1,False,Low
122,497,2024-06-04,Credit,8872.61,Shopping,Chennai,Success,2024,6,June,4,Tuesday,23,False,3310.4718181818184,False,1,False,Low
123,477,2024-07-07,Credit,213.69,Travel,Chennai,Success,2024,7,July,7,Sunday,27,False,2484.1383333333333,False,1,False,Low
124,318,2024-09-28,Debit,2124.14,Fuel,Bangalore,Success,2024,9,September,28,Saturday,39,False,2287.6078571428575,False,1,False,Low
125,245,2024-01-02,Debit,1196.6,Travel,Bangalore,Success,2024,1,January,2,Tuesday,1,False,2369.711818181818,False,1,False,Low
126,236,2024-09-02,Debit,2129.73,Entertainment,Mumbai,Success,2024,9,September,2,Monday,36,False,1693.145,False,1,False,Low
127,185,2024-07-28,Credit,72.8,Entertainment,Delhi,Success,2024,7,July,28,Sunday,30,False,6033.968,False,1,False,Low
128,272,2024-10-12,Debit,1126.37,Fuel,Hyderabad,Success,2024,10,October,12,Saturday,41,False,3003.2785714285715,False,1,False,Low
129,440,2024-12-24,Credit,5142.2,Entertainment,Delhi,Failed,2024,12,December,24,Tuesday,52,False,2975.6545454545453,False,1,False,Low
130,236,2024-01-13,Debit,2421.92,Travel,Delhi,Success,2024,1,January,13,Saturday,2,False,1693.145,False,1,False,Low
131,239,2024-04-05,Debit,1796.69,Entertainment,Bangalore,Success,2024,4,April,5,Friday,14,False,3696.4475,False,1,False,Low
132,377,2024-08-08,Debit,1008.62,Groceries,Mumbai,Success,2024,8,August,8,Thursday,32,False,2004.348,False,1,False,Low
133,266,2024-08-25,Debit,1061.65,Travel,Delhi,Success,2024,8,August,25,Sunday,34,False,4335.420833333334,False,1,False,Low
134,414,2024-04-03,Credit,1449.15,Bills,Delhi,Success,2024,4,April,3,Wednesday,14,False,2235.019411764706,False,1,False,Low
135,409,2024-12-03,Credit,5415.82,Entertainment,Chennai,Success,2024,12,December,3,Tuesday,49,False,2785.256153846154,False,1,False,Low
136,359,2024-09-25,Credit,10253.19,Entertainment,Hyderabad,Success,2024,9,September,25,Wednesday,39,False,3760.747777777778,False,1,False,Low
137,340,2024-06-19,Credit,1732.26,Travel,Mumbai,Success,2024,6,June,19,Wednesday,25,False,3370.061818181818,False,1,False,Low
138,389,2024-04-03,Debit,1499.42,Shopping,Hyderabad,Success,2024,4,April,3,Wednesday,14,False,3279.9962499999997,False,1,False,Low
139,65,2024-05-28,Credit,5623.16,Bills,Bangalore,Success,2024,5,May,28,Tuesday,22,False,2941.561,False,1,False,Low
140,478,2024-04-21,Credit,1670.11,Bills,Delhi,Failed,2024,4,April,21,Sunday,16,False,3353.636,False,1,False,Low
141,177,2024-02-24,Credit,2409.01,Bills,Delhi,Success,2024,2,February,24,Saturday,8,False,2913.4733333333334,False,1,False,Low
142,3,2024-12-02,Debit,787.77,Fuel,Hyderabad,Success,2024,12,December,2,Monday,49,False,2661.576,False,2,False,Low
143,429,2024-04-25,Credit,4081.91,Groceries,Bangalore,Success,2024,4,April,25,Thursday,17,False,2418.0162499999997,False,1,False,Low
144,142,2024-05-22,Credit,2277.79,Groceries,Chennai,Failed,2024,5,May,22,Wednesday,21,False,2818.0766666666664,False,1,False,Low
145,376,2024-07-19,Debit,4966.99,Shopping,Chennai,Success,2024,7,July,19,Friday,29,False,3564.454117647059,False,2,False,Low
146,158,2024-06-28,Debit,4552.39,Bills,Delhi,Success,2024,6,June,28,Friday,26,False,2595.7245454545455,False,1,False,Low
147,498,2024-07-20,Credit,726.23,Bills,Delhi,Success,2024,7,July,20,Saturday,29,False,1917.6657142857143,False,1,False,Low
148,324,2024-12-29,Credit,3772.5,Entertainment,Mumbai,Success,2024,12,December,29,Sunday,52,False,2337.5308333333332,False,1,False,Low
149,146,2024-02-22,Debit,4829.13,Travel,Hyderabad,Success,2024,2,February,22,Thursday,8,False,3329.3981818181815,False,1,False,Low
150,446,2024-06-28,Credit,1274.44,Fuel,Delhi,Success,2024,6,June,28,Friday,26,False,1486.991,False,1,False,Low
151,293,2024-11-08,Debit,568.43,Fuel,Bangalore,Success,2024,11,November,8,Friday,45,False,2258.5442857142857,False,1,False,Low
152,153,2024-11-03,Credit,7.91,Shopping,Hyderabad,Success,2024,11,November,3,Sunday,44,False,3259.9375,False,1,False,Low
153,432,2024-05-16,Credit,1798.44,Groceries,Mumbai,Success,2024,5,May,16,Thursday,20,False,2881.9171428571426,False,1,False,Low
154,193,2024-06-30,Credit,1303.6,Bills,Chennai,Success,2024,6,June,30,Sunday,26,False,2115.93375,False,1,False,Low
155,437,2024-01-01,Credit,2428.44,Travel,Mumbai,Success,2024,1,January,1,Monday,1,False,2504.2844444444445,False,1,False,Low
156,494,2024-02-13,Credit,624.92,Shopping,Hyderabad,Success,2024,2,February,13,Tuesday,7,False,3564.021666666667,False,1,False,Low
157,463,2024-08-14,Debit,5891.18,Fuel,Chennai,Success,2024,8,August,14,Wednesday,33,False,2781.9281818181817,False,1,False,Low
158,73,2024-11-26,Debit,894.23,Fuel,Bangalore,Success,2024,11,November,26,Tuesday,48,False,1337.6793333333333,False,1,False,Low
159,399,2024-04-07,Credit,770.22,Fuel,Chennai,Success,2024,4,April,7,Sunday,14,False,3372.824285714286,False,1,False,Low
160,305,2024-07-26,Credit,1965.9,Bills,Chennai,Success,2024,7,July,26,Friday,30,False,2446.804285714286,False,1,False,Low
161,377,2024-09-21,Credit,2072.56,Bills,Bangalore,Success,2024,9,September,21,Saturday,38,False,2004.348,False,1,False,Low
162,344,2024-10-14,Debit,726.54,Bills,Delhi,Success,2024,10,October,14,Monday,42,False,2878.122142857143,False,1,False,Low
163,452,2024-09-27,Debit,951.79,Entertainment,Delhi,Success,2024,9,September,27,Friday,39,False,2299.4484615384613,False,1,False,Low
164,140,2024-05-19,Debit,557.92,Groceries,Chennai,Success,2024,5,May,19,Sunday,20,False,2566.5214285714287,False,1,False,Low
165,187,2024-08-24,Debit,3802.44,Fuel,Chennai,Success,2024,8,August,24,Saturday,34,False,6743.132857142858,False,1,False,Low
166,293,2024-03-12,Debit,4410.19,Fuel,Mumbai,Success,2024,3,March,12,Tuesday,11,False,2258.5442857142857,False,1,False,Low
167,61,2024-06-03,Debit,1861.52,Entertainment,Delhi,Success,2024,6,June,3,Monday,23,False,3149.2086666666664,False,1,False,Low
168,485,2024-07-08,Debit,3756.2,Fuel,Bangalore,Success,2024,7,July,8,Monday,28,False,2709.1407142857142,False,1,False,Low
169,427,2024-09-24,Debit,3994.68,Fuel,Chennai,Success,2024,9,September,24,Tuesday,39,False,2665.956,False,1,False,Low
170,380,2024-11-16,Credit,446.46,Bills,Chennai,Success,2024,11,November,16,Saturday,46,False,2789.703076923077,False,1,False,Low
171,198,2024-04-16,Debit,10159.93,Bills,Mumbai,Success,2024,4,April,16,Tuesday,16,False,3583.8900000000003,False,1,False,Low
172,295,2024-08-19,Debit,5161.64,Groceries,Mumbai,Success,2024,8,August,19,Monday,34,False,2766.4961538461534,False,1,False,Low
173,440,2024-02-11,Debit,686.29,Fuel,Mumbai,Success,2024,2,February,11,Sunday,6,False,2975.6545454545453,False,1,False,Low
174,319,2024-07-08,Debit,617.99,Shopping,Hyderabad,Success,2024,7,July,8,Monday,28,False,1871.1611111111108,False,1,False,Low
175,302,2024-05-18,Credit,402.86,Fuel,Bangalore,Success,2024,5,May,18,Saturday,20,False,2584.5186666666664,False,1,False,Low
176,344,2024-04-12,Debit,446.82,Fuel,Hyderabad,Success,2024,4,April,12,Friday,15,False,2878.122142857143,False,1,False,Low
177,11,2024-06-19,Credit,4136.91,Groceries,Chennai,Success,2024,6,June,19,Wednesday,25,False,3041.99,False,1,False,Low
178,62,2024-12-16,Credit,1902.68,Shopping,Mumbai,Success,2024,12,December,16,Monday,51,False,2466.562307692308,False,1,False,Low
179,333,2024-09-29,Credit,4582.66,Fuel,Mumbai,Success,2024,9,September,29,Sunday,39,False,4042.858571428572,False,1,False,Low
180,226,2024-08-08,Debit,4114.28,Travel,Mumbai,Success,2024,8,August,8,Thursday,32,False,2506.471818181818,False,1,False,Low
181,153,2024-07-31,Debit,2783.67,Travel,Delhi,Success,2024,7,July,31,Wednesday,31,False,3259.9375,False,1,False,Low
182,199,2024-12-06,Debit,3478.59,Shopping,Bangalore,Success,2024,12,December,6,Friday,49,False,2306.08375,False,1,False,Low
183,52,2024-02-25,Credit,55.58,Travel,Hyderabad,Success,2024,2,February,25,Sunday,8,False,3312.3514285714286,False,1,False,Low
184,260,2024-12-07,Credit,1120.93,Bills,Bangalore,Success,2024,12,December,7,Saturday,49,False,3270.86375,False,2,False,Low
185,59,2024-04-11,Credit,3046.86,Bills,Mumbai,Success,2024,4,April,11,Thursday,15,False,3048.9886363636365,False,1,False,Low
186,72,2024-07-10,Credit,28.17,Shopping,Chennai,Success,2024,7,July,10,Wednesday,28,False,2641.0033333333336,False,2,False,Low
187,148,2024-11-05,Debit,100.6,Fuel,Delhi,Success,2024,11,November,5,Tuesday,45,False,2567.64,False,1,False,Low
188,349,2024-07-18,Debit,5729.36,Shopping,Bangalore,Success,2024,7,July,18,Thursday,29,False,3621.114,False,1,False,Low
189,63,2024-08-20,Debit,3456.28,Travel,Chennai,Success,2024,8,August,20,Tuesday,34,False,2560.41,False,1,False,Low
190,310,2024-08-14,Credit,925.16,Shopping,Mumbai,Success,2024,8,August,14,Wednesday,33,False,3351.802666666667,False,1,False,Low
191,373,2024-05-18,Credit,3493.9,Travel,Mumbai,Success,2024,5,May,18,Saturday,20,False,2726.35,False,2,False,Low
192,243,2024-12-09,Debit,4717.25,Bills,Mumbai,Success,2024,12,December,9,Monday,50,False,4069.4542857142856,False,1,False,Low
193,493,2024-10-31,Debit,1099.29,Shopping,Mumbai,Success,2024,10,October,31,Thursday,44,False,1708.753,False,1,False,Low
194,366,2024-05-28,Credit,110.11,Entertainment,Delhi,Success,2024,5,May,28,Tuesday,22,False,3511.2879999999996,False,1,False,Low
195,330,2024-04-24,Debit,8099.31,Travel,Delhi,Success,2024,4,April,24,Wednesday,17,False,3277.065714285714,False,1,False,Low
196,107,2024-03-03,Debit,1270.18,Entertainment,Bangalore,Success,2024,3,March,3,Sunday,9,False,1711.7675,False,1,False,Low
197,226,2024-04-13,Credit,337.77,Bills,Mumbai,Success,2024,4,April,13,Saturday,15,False,2506.471818181818,False,1,False,Low
198,313,2024-12-04,Credit,2030.98,Fuel,Delhi,Success,2024,12,December,4,Wednesday,49,False,2403.311111111111,False,1,False,Low
199,218,2024-12-24,Credit,4389.11,Travel,Chennai,Success,2024,12,December,24,Tuesday,52,False,3607.897,False,1,False,Low
200,425,2024-06-04,Debit,751.73,Fuel,Delhi,Success,2024,6,June,4,Tuesday,23,False,3645.576666666667,False,1,False,Low
201,241,2024-09-29,Credit,942.04,Bills,Delhi,Success,2024,9,September,29,Sunday,39,False,3701.4272727272732,False,1,False,Low
202,259,2024-01-06,Debit,834.05,Fuel,Bangalore,Success,2024,1,January,6,Saturday,1,False,1418.8149999999998,False,1,False,Low
203,376,2024-05-26,Debit,14364.78,Travel,Delhi,Success,2024,5,May,26,Sunday,21,False,3564.454117647059,True,1,False,High
