transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,merchant_category,location,transaction_status
45,250,2024-08-11,Credit,1525.0,Groceries,Hyderabad,Success
46,391,2024-11-13,Debit,58.08,Entertainment,Hyderabad,Success
47,270,2024-12-30,Debit,4441.79,Travel,Mumbai,Success
48,335,2024-12-02,Credit,562.41,Fuel,Delhi,Success
49,117,2024-08-16,Debit,134.69,Groceries,Chennai,Success
50,7,2024-03-17,Debit,3181.34,Bills,Hyderabad,Success
51,137,2024-07-06,Debit,4460.81,Shopping,Delhi,Success
52,371,2024-12-11,Credit,5043.27,Entertainment,Bangalore,Success
53,176,2024-09-26,Credit,2040.75,Fuel,Delhi,Success
54,328,2024-04-04,Credit,689.63,Bills,Chennai,Success
55,498,2024-11-05,Debit,4009.4,Shopping,Mumbai,Success
56,315,2024-05-11,Debit,3609.05,Shopping,Chennai,Success
57,215,2024-02-08,Credit,848.17,Bills,Hyderabad,Success
58,477,2024-03-12,Credit,7011.77,Fuel,Hyderabad,Success
59,82,2024-10-07,Credit,330.69,Shopping,Delhi,Success
60,223,2024-11-28,Debit,12169.11,Entertainment,Chennai,Success
61,478,2024-06-08,Credit,5903.65,Groceries,Hyderabad,Success
62,372,2024-07-05,Debit,3493.28,Entertainment,Bangalore,Success
63,423,2024-07-09,Credit,8378.37,Travel,Bangalore,Success
64,483,2024-04-29,Debit,3843.76,Shopping,Mumbai,Success
65,402,2024-08-07,Debit,633.86,Groceries,Delhi,Success
66,443,2024-02-22,Credit,1751.03,Bills,Hyderabad,Success
67,490,2024-08-09,Debit,222.56,Groceries,Mumbai,Success
68,103,2024-05-10,Credit,1481.2,Groceries,Bangalore,Success
69,273,2024-08-24,Debit,4059.77,Groceries,Mumbai,Success
70,14,2024-09-02,Debit,1465.45,Shopping,Mumbai,Failed
71,159,2024-08-13,Credit,1202.75,Travel,Hyderabad,Success
72,152,2024-07-26,Debit,2714.24,Travel,Hyderabad,Success
73,483,2024-04-05,Credit,6171.97,Fuel,Hyderabad,Success
74,108,2024-07-18,Credit,146.26,Travel,Delhi,Success
75,188,2024-09-03,Credit,1460.69,Shopping,Mumbai,Success
76,301,2024-03-12,Debit,516.78,Fuel,Mumbai,Failed
77,98,2024-11-13,Debit,3565.82,Bills,Delhi,Success
78,131,2024-07-03,Debit,335.22,Bills,Bangalore,Success
79,293,2024-01-06,Credit,3279.15,Bills,Chennai,Success
80,171,2024-07-24,Credit,1011.38,Bills,Bangalore,Success
81,424,2024-02-01,Debit,665.37,Bills,Delhi,Success
82,474,2024-04-08,Debit,8263.19,Entertainment,Mumbai,Success
83,183,2024-09-12,Credit,56.09,Shopping,Mumbai,Failed
84,471,2024-07-05,Debit,1727.57,Fuel,Hyderabad,Failed
85,364,2024-03-16,Credit,65.59,Bills,Hyderabad,Success
86,39,2024-06-25,Debit,1982.58,Entertainment,Mumbai,Success
87,15,2024-11-10,Credit,2085.73,Travel,Mumbai,Success
88,376,2024-10-13,Debit,1164.33,Entertainment,Hyderabad,Success
89,497,2024-12-14,Debit,425.25,Entertainment,Hyderabad,Failed
90,4,2024-09-11,Credit,1416.68,Shopping,Bangalore,Success
91,349,2024-11-20,Credit,3346.63,Bills,Mumbai,Success
92,470,2024-07-08,Credit,4575.23,Entertainment,Mumbai,Success
93,409,2024-11-03,Debit,2269.86,Entertainment,Delhi,Success
94,397,2024-12-10,Credit,2673.58,Bills,Bangalore,Success
95,210,2024-05-06,Credit,671.74,Shopping,Chennai,Success
96,161,2024-10-13,Debit,1016.21,Entertainment,Chennai,Success
97,16,2024-09-10,Credit,529.84,Fuel,Chennai,Success
98,493,2024-07-31,Credit,860.23,Groceries,Hyderabad,Success
99,426,2024-09-06,Credit,764.24,Travel,Chennai,Success
100,108,2024-03-24,Debit,2198.46,Groceries,Delhi,Success
101,382,2024-01-13,Debit,2481.33,Groceries,Hyderabad,Success
102,450,2024-02-14,Debit,8698.4,Shopping,Hyderabad,Success
103,311,2024-05-06,Credit,652.87,Entertainment,Chennai,Success
104,227,2024-04-23,Debit,3078.95,Groceries,Hyderabad,Success
105,170,2024-10-02,Credit,5099.06,Groceries,Bangalore,Success
106,34,2024-07-23,Credit,2464.59,Travel,Bangalore,Success
107,414,2024-12-02,Credit,883.13,Bills,Chennai,Success
108,251,2024-09-29,Debit,913.67,Entertainment,Delhi,Success
109,247,2024-02-27,Debit,120.13,Entertainment,Hyderabad,Success
110,269,2024-11-23,Credit,1093.45,Travel,Mumbai,Success
111,141,2024-08-06,Credit,4094.82,Bills,Chennai,Success
112,274,2024-04-18,Debit,146.05,Entertainment,Hyderabad,Success
113,416,2024-10-05,Debit,742.67,Fuel,Chennai,Success
114,96,2024-06-22,Debit,3674.9,Travel,Chennai,Success
115,227,2024-11-23,Credit,4578.76,Shopping,Delhi,Success
116,379,2024-09-20,Debit,1822.66,Bills,Mumbai,Success
117,39,2024-11-10,Debit,3592.72,Travel,Hyderabad,Success
118,302,2024-04-20,Debit,1472.83,Groceries,Chennai,Success
119,500,2024-07-05,Credit,522.75,Entertainment,Chennai,Success
120,29,2024-09-25,Debit,1523.24,Fuel,Hyderabad,Success
121,446,2024-08-16,Credit,2602.27,Fuel,Chennai,Failed
122,497,2024-06-04,Credit,8872.61,Shopping,Chennai,Success
123,477,2024-07-07,Credit,213.69,Travel,Chennai,Success
124,318,2024-09-28,Debit,2124.14,Fuel,Bangalore,Success
125,245,2024-01-02,Debit,1196.6,Travel,Bangalore,Success
126,236,2024-09-02,Debit,2129.73,Entertainment,Mumbai,Success
127,185,2024-07-28,Credit,72.8,Entertainment,Delhi,Success
128,272,2024-10-12,Debit,1126.37,Fuel,Hyderabad,Success
129,440,2024-12-24,Credit,5142.2,Entertainment,Delhi,Failed
130,236,2024-01-13,Debit,2421.92,Travel,Delhi,Success
131,239,2024-04-05,Debit,1796.69,Entertainment,Bangalore,Success
132,377,2024-08-08,Debit,1008.62,Groceries,Mumbai,Success
133,266,2024-08-25,Debit,1061.65,Travel,Delhi,Success
134,414,2024-04-03,Credit,1449.15,Bills,Delhi,Success
135,409,2024-12-03,Credit,5415.82,Entertainment,Chennai,Success
136,359,2024-09-25,Credit,10253.19,Entertainment,Hyderabad,Success
137,340,2024-06-19,Credit,1732.26,Travel,Mumbai,Success
138,389,2024-04-03,Debit,1499.42,Shopping,Hyderabad,Success
139,65,2024-05-28,Credit,5623.16,Bills,Bangalore,Success
140,478,2024-04-21,Credit,1670.11,Bills,Delhi,Failed
141,177,2024-02-24,Credit,2409.01,Bills,Delhi,Success
142,3,2024-12-02,Debit,787.77,Fuel,Hyderabad,Success
143,429,2024-04-25,Credit,4081.91,Groceries,Bangalore,Success
144,142,2024-05-22,Credit,2277.79,Groceries,Chennai,Failed
145,376,2024-07-19,Debit,4966.99,Shopping,Chennai,Success
146,158,2024-06-28,Debit,4552.39,Bills,Delhi,Success
147,498,2024-07-20,Credit,726.23,Bills,Delhi,Success
148,324,2024-12-29,Credit,3772.5,Entertainment,Mumbai,Success
149,146,2024-02-22,Debit,4829.13,Travel,Hyderabad,Success
150,446,2024-06-28,Credit,1274.44,Fuel,Delhi,Success
151,293,2024-11-08,Debit,568.43,Fuel,Bangalore,Success
152,153,2024-11-03,Credit,7.91,Shopping,Hyderabad,Success
153,432,2024-05-16,Credit,1798.44,Groceries,Mumbai,Success
154,193,2024-06-30,Credit,1303.6,Bills,Chennai,Success
155,437,2024-01-01,Credit,2428.44,Travel,Mumbai,Success
156,494,2024-02-13,Credit,624.92,Shopping,Hyderabad,Success
157,463,2024-08-14,Debit,5891.18,Fuel,Chennai,Success
158,73,2024-11-26,Debit,894.23,Fuel,Bangalore,Success
159,399,2024-04-07,Credit,770.22,Fuel,Chennai,Success
160,305,2024-07-26,Credit,1965.9,Bills,Chennai,Success
161,377,2024-09-21,Credit,2072.56,Bills,Bangalore,Success
162,344,2024-10-14,Debit,726.54,Bills,Delhi,Success
163,452,2024-09-27,Debit,951.79,Entertainment,Delhi,Success
164,140,2024-05-19,Debit,557.92,Groceries,Chennai,Success
165,187,2024-08-24,Debit,3802.44,Fuel,Chennai,Success
166,293,2024-03-12,Debit,4410.19,Fuel,Mumbai,Success
167,61,2024-06-03,Debit,1861.52,Entertainment,Delhi,Success
168,485,2024-07-08,Debit,3756.2,Fuel,Bangalore,Success
169,427,2024-09-24,Debit,3994.68,Fuel,Chennai,Success
170,380,2024-11-16,Credit,446.46,Bills,Chennai,Success
171,198,2024-04-16,Debit,10159.93,Bills,Mumbai,Success
172,295,2024-08-19,Debit,5161.64,Groceries,Mumbai,Success
173,440,2024-02-11,Debit,686.29,Fuel,Mumbai,Success
174,319,2024-07-08,Debit,617.99,Shopping,Hyderabad,Success
175,302,2024-05-18,Credit,402.86,Fuel,Bangalore,Success
176,344,2024-04-12,Debit,446.82,Fuel,Hyderabad,Success
177,11,2024-06-19,Credit,4136.91,Groceries,Chennai,Success
178,62,2024-12-16,Credit,1902.68,Shopping,Mumbai,Success
179,333,2024-09-29,Credit,4582.66,Fuel,Mumbai,Success
180,226,2024-08-08,Debit,4114.28,Travel,Mumbai,Success
181,153,2024-07-31,Debit,2783.67,Travel,Delhi,Success
182,199,2024-12-06,Debit,3478.59,Shopping,Bangalore,Success
183,52,2024-02-25,Credit,55.58,Travel,Hyderabad,Success
184,260,2024-12-07,Credit,1120.93,Bills,Bangalore,Success
185,59,2024-04-11,Credit,3046.86,Bills,Mumbai,Success
186,72,2024-07-10,Credit,28.17,Shopping,Chennai,Success
187,148,2024-11-05,Debit,100.6,Fuel,Delhi,Success
188,349,2024-07-18,Debit,5729.36,Shopping,Bangalore,Success
189,63,2024-08-20,Debit,3456.28,Travel,Chennai,Success
190,310,2024-08-14,Credit,925.16,Shopping,Mumbai,Success
191,373,2024-05-18,Credit,3493.9,Travel,Mumbai,Success
192,243,2024-12-09,Debit,4717.25,Bills,Mumbai,Success
193,493,2024-10-31,Debit,1099.29,Shopping,Mumbai,Success
194,366,2024-05-28,Credit,110.11,Entertainment,Delhi,Success
195,330,2024-04-24,Debit,8099.31,Travel,Delhi,Success
196,107,2024-03-03,Debit,1270.18,Entertainment,Bangalore,Success
197,226,2024-04-13,Credit,337.77,Bills,Mumbai,Success
198,313,2024-12-04,Credit,2030.98,Fuel,Delhi,Success
199,218,2024-12-24,Credit,4389.11,Travel,Chennai,Success
200,425,2024-06-04,Debit,751.73,Fuel,Delhi,Success
201,241,2024-09-29,Credit,942.04,Bills,Delhi,Success
202,259,2024-01-06,Debit,834.05,Fuel,Bangalore,Success
203,376,2024-05-26,Debit,14364.78,Travel,Delhi,Success
204,262,2024-07-02,Credit,659.71,Groceries,Chennai,Success
205,5,2024-01-28,Debit,2570.67,Travel,Mumbai,Success
206,261,2024-02-07,Credit,7781.41,Travel,Hyderabad,Success
207,54,2024-04-28,Credit,476.62,Entertainment,Bangalore,Success
208,47,2024-10-19,Debit,10606.33,Groceries,Chennai,Success
209,215,2024-08-31,Debit,8839.53,Groceries,Bangalore,Success
210,177,2024-03-08,Credit,6477.32,Groceries,Mumbai,Success
211,9,2024-08-01,Credit,724.52,Travel,Delhi,Success
212,99,2024-08-05,Credit,3015.82,Bills,Delhi,Success
213,20,2024-06-25,Credit,4292.51,Groceries,Chennai,Success
214,378,2024-10-25,Credit,12812.08,Shopping,Mumbai,Success
215,241,2024-06-12,Credit,596.9,Fuel,Hyderabad,Success
216,61,2024-02-27,Debit,4357.63,Bills,Hyderabad,Success
217,379,2024-09-25,Debit,1241.1,Shopping,Delhi,Success
218,490,2024-11-03,Debit,579.39,Travel,Mumbai,Success
219,419,2024-02-27,Debit,1641.31,Travel,Mumbai,Success
220,178,2024-10-14,Credit,4737.25,Shopping,Chennai,Success
221,338,2024-04-14,Debit,1875.62,Entertainment,Hyderabad,Success
222,62,2024-08-15,Debit,2313.48,Entertainment,Chennai,Success
223,145,2024-09-03,Credit,15992.16,Shopping,Bangalore,Success
224,216,2024-07-06,Debit,1528.03,Entertainment,Mumbai,Success
225,3,2024-03-23,Credit,2866.66,Fuel,Hyderabad,Success
226,160,2024-07-04,Credit,1363.54,Fuel,Chennai,Failed
227,227,2024-09-08,Credit,1496.62,Travel,Delhi,Success
228,486,2024-12-20,Credit,3568.64,Entertainment,Bangalore,Success
229,269,2024-08-25,Credit,8336.4,Groceries,Chennai,Failed
230,120,2024-12-25,Debit,2345.01,Shopping,Delhi,Success
231,381,2024-07-02,Debit,4388.23,Fuel,Hyderabad,Success
232,495,2024-10-10,Debit,280.32,Entertainment,Hyderabad,Success
233,89,2024-07-28,Credit,711.57,Entertainment,Bangalore,Failed
234,329,2024-10-30,Debit,2092.26,Fuel,Delhi,Success
235,68,2024-10-22,Debit,60.64,Fuel,Mumbai,Success
236,398,2024-04-06,Debit,874.49,Groceries,Hyderabad,Success
237,357,2024-07-26,Debit,2185.71,Entertainment,Mumbai,Success
238,98,2024-05-16,Credit,45.22,Entertainment,Mumbai,Failed
239,267,2024-07-02,Debit,921.8,Bills,Chennai,Success
240,105,2024-03-16,Credit,2164.83,Travel,Chennai,Success
241,440,2024-10-13,Credit,2553.96,Groceries,Hyderabad,Success
242,323,2024-05-21,Debit,7801.02,Fuel,Mumbai,Success
243,123,2024-08-24,Credit,3109.83,Fuel,Chennai,Success
244,476,2024-01-25,Credit,1607.08,Shopping,Delhi,Success
245,29,2024-10-16,Credit,7992.87,Travel,Delhi,Success
246,137,2024-03-07,Credit,4609.72,Fuel,Delhi,Success
247,195,2024-09-06,Credit,669.46,Entertainment,Delhi,Success
248,409,2024-04-27,Credit,420.69,Fuel,Mumbai,Success
249,226,2024-03-13,Credit,3379.29,Entertainment,Delhi,Success
250,332,2024-10-08,Debit,2462.15,Entertainment,Mumbai,Success
251,170,2024-12-25,Debit,4677.28,Groceries,Hyderabad,Success
252,9,2024-01-10,Credit,4027.46,Fuel,Hyderabad,Success
253,463,2024-07-29,Credit,2944.18,Groceries,Delhi,Success
254,40,2024-11-18,Debit,12889.13,Travel,Delhi,Success
255,25,2024-05-31,Debit,2288.07,Entertainment,Delhi,Failed
256,261,2024-01-05,Debit,360.09,Travel,Hyderabad,Success
257,395,2024-07-13,Debit,5285.56,Fuel,Chennai,Success
258,443,2024-10-09,Credit,870.47,Travel,Hyderabad,Success
259,226,2024-04-22,Credit,4505.82,Travel,Delhi,Success
260,472,2024-09-27,Debit,9447.15,Fuel,Chennai,Success
261,124,2024-06-11,Debit,3580.04,Groceries,Chennai,Success
262,463,2024-04-14,Debit,2719.25,Groceries,Bangalore,Success
263,38,2024-06-29,Debit,1850.7,Entertainment,Mumbai,Failed
264,328,2024-02-13,Credit,1359.6,Entertainment,Delhi,Success
265,251,2024-10-08,Debit,1306.25,Fuel,Mumbai,Failed
266,389,2024-06-23,Debit,3034.88,Fuel,Bangalore,Success
267,176,2024-06-10,Debit,4174.2,Bills,Mumbai,Success
268,90,2024-12-16,Credit,3404.43,Bills,Delhi,Success
269,402,2024-12-05,Credit,663.47,Shopping,Bangalore,Success
270,454,2024-05-19,Credit,2043.58,Entertainment,Mumbai,Success
271,37,2024-05-11,Debit,4705.46,Travel,Hyderabad,Success
272,316,2024-03-27,Debit,1937.1,Shopping,Chennai,Success
273,176,2024-06-24,Debit,2307.64,Shopping,Bangalore,Success
274,461,2024-07-01,Credit,4423.88,Groceries,Hyderabad,Success
275,284,2024-05-08,Credit,3247.61,Travel,Delhi,Success
276,453,2024-09-02,Debit,1579.57,Groceries,Chennai,Success
277,461,2024-03-29,Debit,6773.2,Bills,Bangalore,Success
278,81,2024-03-06,Credit,532.24,Shopping,Chennai,Success
279,114,2024-06-06,Debit,16222.02,Bills,Bangalore,Success
280,40,2024-05-28,Debit,379.59,Travel,Bangalore,Success
281,301,2024-12-05,Debit,45.19,Travel,Mumbai,Success
282,224,2024-04-25,Credit,6622.34,Entertainment,Chennai,Success
283,318,2024-08-01,Debit,842.93,Fuel,Chennai,Success
284,349,2024-10-20,Debit,3924.66,Groceries,Hyderabad,Success
285,115,2024-09-09,Debit,4998.27,Entertainment,Delhi,Success
286,186,2024-05-22,Debit,5876.7,Entertainment,Hyderabad,Success
287,323,2024-09-06,Credit,14336.51,Groceries,Mumbai,Success
288,56,2024-10-28,Credit,1044.59,Groceries,Bangalore,Success
289,40,2024-01-25,Credit,3716.14,Travel,Mumbai,Success
290,354,2024-10-03,Debit,367.86,Travel,Mumbai,Success
291,40,2024-03-10,Credit,1566.72,Shopping,Hyderabad,Success
292,347,2024-04-22,Debit,5651.07,Bills,Bangalore,Success
293,461,2024-12-28,Credit,1374.97,Travel,Delhi,Success
294,237,2024-04-21,Debit,2682.82,Entertainment,Mumbai,Success
295,289,2024-12-29,Credit,2102.17,Shopping,Delhi,Success
296,262,2024-10-29,Credit,3114.96,Shopping,Bangalore,Success
297,216,2024-03-31,Credit,10824.04,Entertainment,Bangalore,Success
298,147,2024-01-18,Debit,172.05,Travel,Hyderabad,Success
299,336,2024-05-28,Debit,2559.68,Entertainment,Chennai,Success
300,168,2024-08-14,Debit,5963.95,Fuel,Hyderabad,Success
301,92,2024-08-01,Credit,1969.77,Travel,Delhi,Success
302,353,2024-12-25,Debit,245.35,Bills,Hyderabad,Success
303,59,2024-05-30,Debit,2466.62,Entertainment,Bangalore,Success
304,59,2024-07-10,Debit,1210.73,Travel,Mumbai,Success
305,304,2024-02-09,Debit,505.05,Groceries,Chennai,Success
306,169,2024-08-29,Debit,5672.11,Fuel,Bangalore,Success
307,269,2024-05-17,Debit,2211.92,Bills,Mumbai,Success
308,363,2024-12-10,Credit,8121.59,Travel,Delhi,Success
309,45,2024-06-28,Credit,4919.95,Groceries,Delhi,Success
310,345,2024-07-18,Debit,3542.45,Travel,Delhi,Success
311,181,2024-07-21,Credit,15.11,Groceries,Hyderabad,Success
312,170,2024-03-01,Credit,1674.92,Bills,Delhi,Success
313,356,2024-07-10,Debit,660.02,Fuel,Delhi,Success
314,191,2024-01-05,Debit,7250.55,Groceries,Hyderabad,Success
315,155,2024-08-24,Credit,575.6,Shopping,Mumbai,Success
316,422,2024-06-29,Debit,1010.87,Bills,Bangalore,Success
317,188,2024-11-06,Credit,2182.2,Bills,Chennai,Success
318,7,2024-02-06,Credit,916.98,Entertainment,Delhi,Success
319,133,2024-02-25,Credit,706.65,Fuel,Delhi,Success
320,235,2024-08-24,Debit,2742.12,Shopping,Delhi,Success
321,45,2024-12-23,Credit,279.41,Shopping,Hyderabad,Success
322,314,2024-12-14,Debit,179.78,Entertainment,Hyderabad,Success
323,249,2024-07-15,Debit,1396.82,Groceries,Hyderabad,Success
324,499,2024-03-13,Debit,3826.02,Groceries,Chennai,Success
325,31,2024-02-28,Debit,2427.74,Shopping,Bangalore,Success
326,23,2024-08-27,Debit,1649.1,Fuel,Delhi,Success
327,426,2024-01-02,Credit,2502.42,Groceries,Mumbai,Success
328,394,2024-12-25,Debit,1364.52,Bills,Delhi,Success
329,160,2024-07-06,Debit,8253.48,Travel,Delhi,Success
330,363,2024-11-02,Debit,169.41,Entertainment,Delhi,Success
331,437,2024-01-30,Debit,3356.98,Fuel,Delhi,Success
332,158,2024-09-23,Debit,6657.01,Groceries,Bangalore,Success
333,39,2024-04-17,Credit,4887.16,Travel,Mumbai,Success
334,415,2024-11-27,Debit,610.17,Shopping,Hyderabad,Success
335,82,2024-03-30,Debit,1052.62,Entertainment,Mumbai,Success
336,356,2024-07-23,Credit,3787.43,Groceries,Delhi,Success
337,258,2024-08-07,Debit,264.1,Shopping,Mumbai,Success
338,206,2024-04-03,Credit,5011.73,Groceries,Delhi,Success
339,77,2024-04-12,Credit,3807.21,Entertainment,Mumbai,Success
340,477,2024-08-10,Credit,3923.63,Bills,Chennai,Success
341,12,2024-07-04,Credit,316.89,Bills,Mumbai,Success
342,295,2024-07-02,Debit,3795.0,Travel,Hyderabad,Success
343,450,2024-06-10,Debit,3416.6,Shopping,Hyderabad,Success
344,224,2024-09-03,Credit,5332.19,Bills,Mumbai,Success
345,13,2024-01-31,Credit,127.46,Entertainment,Mumbai,Success
346,46,2024-02-21,Debit,70.15,Shopping,Bangalore,Success
347,155,2024-12-10,Credit,1400.46,Groceries,Mumbai,Success
348,113,2024-03-16,Credit,483.28,Fuel,Hyderabad,Success
349,233,2024-10-04,Credit,2451.95,Groceries,Chennai,Success
350,17,2024-02-09,Debit,7479.38,Entertainment,Hyderabad,Success
351,360,2024-04-10,Credit,1490.18,Travel,Bangalore,Success
352,223,2024-04-20,Debit,5592.03,Shopping,Mumbai,Success
353,354,2024-11-16,Debit,0.72,Groceries,Chennai,Success
354,188,2024-09-05,Debit,553.62,Shopping,Hyderabad,Success
355,448,2024-07-09,Credit,92.69,Bills,Chennai,Success
356,344,2024-06-30,Credit,1193.15,Fuel,Delhi,Success
357,365,2024-11-30,Debit,7164.09,Entertainment,Hyderabad,Success
358,163,2024-07-27,Debit,305.94,Groceries,Delhi,Success
359,496,2024-01-22,Debit,2797.33,Fuel,Chennai,Success
360,326,2024-06-14,Credit,1801.68,Entertainment,Mumbai,Success
361,467,2024-04-08,Credit,8364.6,Entertainment,Mumbai,Success
362,414,2024-07-26,Debit,392.1,Travel,Mumbai,Success
363,455,2024-01-08,Debit,714.88,Bills,Delhi,Success
364,74,2024-07-08,Credit,89.96,Travel,Mumbai,Success
365,233,2024-06-23,Debit,1707.14,Travel,Bangalore,Success
366,224,2024-09-29,Credit,976.5,Shopping,Hyderabad,Success
367,482,2024-01-17,Credit,6118.49,Shopping,Hyderabad,Success
368,319,2024-03-30,Debit,2786.16,Fuel,Chennai,Success
369,412,2024-05-20,Debit,2856.46,Bills,Delhi,Success
370,60,2024-05-24,Credit,2277.29,Entertainment,Hyderabad,Success
371,335,2024-06-14,Credit,289.04,Bills,Delhi,Success
372,222,2024-12-02,Credit,1766.46,Bills,Chennai,Success
373,37,2024-03-18,Credit,22834.01,Fuel,Mumbai,Success
374,477,2024-09-18,Credit,5409.6,Shopping,Chennai,Success
375,278,2024-06-11,Debit,6717.68,Bills,Bangalore,Success
376,196,2024-01-14,Credit,5198.66,Bills,Mumbai,Success
377,404,2024-08-26,Credit,326.24,Bills,Mumbai,Success
378,352,2024-03-12,Credit,774.17,Groceries,Mumbai,Success
379,484,2024-05-22,Debit,9.38,Bills,Chennai,Success
380,242,2024-11-05,Debit,1085.11,Bills,Bangalore,Success
381,324,2024-10-09,Credit,344.91,Entertainment,Delhi,Success
382,219,2024-09-25,Credit,1920.49,Travel,Chennai,Success
383,192,2024-08-28,Debit,3391.49,Groceries,Hyderabad,Success
384,17,2024-09-01,Debit,6226.48,Bills,Hyderabad,Success
385,12,2024-06-11,Debit,4149.5,Travel,Chennai,Success
386,406,2024-02-29,Debit,8370.33,Bills,Delhi,Success
387,401,2024-01-06,Credit,166.22,Fuel,Hyderabad,Success
388,394,2024-07-15,Debit,36.76,Fuel,Delhi,Failed
389,374,2024-02-27,Credit,3248.26,Travel,Mumbai,Success
390,193,2024-10-31,Credit,1024.74,Groceries,Chennai,Success
391,22,2024-08-04,Debit,877.08,Entertainment,Mumbai,Success
392,474,2024-01-26,Debit,1205.41,Groceries,Hyderabad,Success
393,120,2024-10-29,Debit,943.29,Groceries,Delhi,Success
394,210,2024-01-05,Debit,2148.86,Fuel,Mumbai,Success
395,306,2024-01-20,Credit,1740.25,Fuel,Hyderabad,Success
396,270,2024-07-16,Credit,2154.96,Entertainment,Bangalore,Success
397,192,2024-02-28,Credit,3350.76,Bills,Mumbai,Success
398,175,2024-08-29,Debit,1468.81,Entertainment,Bangalore,Success
399,285,2024-05-25,Credit,868.28,Bills,Bangalore,Success
400,204,2024-09-29,Debit,545.29,Travel,Hyderabad,Success
401,164,2024-09-05,Credit,1289.92,Travel,Chennai,Success
402,251,2024-01-14,Debit,4062.14,Shopping,Delhi,Success
403,227,2024-01-13,Credit,4240.44,Fuel,Hyderabad,Success
404,436,2024-02-13,Credit,3297.99,Shopping,Mumbai,Success
405,381,2024-01-19,Debit,799.83,Shopping,Delhi,Success
406,460,2024-03-03,Credit,2660.82,Fuel,Chennai,Success
407,7,2024-08-26,Credit,2536.73,Shopping,Hyderabad,Success
408,29,2024-12-02,Debit,1986.49,Groceries,Chennai,Success
409,395,2024-04-09,Debit,2395.38,Bills,Mumbai,Success
410,33,2024-06-11,Debit,2030.59,Entertainment,Hyderabad,Success
411,134,2024-05-01,Debit,2500.38,Fuel,Mumbai,Success
412,367,2024-02-13,Debit,3771.13,Groceries,Delhi,Success
413,79,2024-12-25,Credit,348.35,Travel,Delhi,Success
414,416,2024-11-12,Debit,4154.4,Entertainment,Chennai,Success
415,435,2024-05-24,Credit,438.15,Entertainment,Chennai,Success
416,459,2024-11-22,Credit,206.85,Entertainment,Delhi,Success
417,58,2024-12-28,Debit,11199.08,Shopping,Bangalore,Success
